2025-11-30 13:54:13.157; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:14.160; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:15.164; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:16.167; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:17.170; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:18.173; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:19.177; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:20.180; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:21.183; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:54:22.186; DRONE_X=-0.909; DRONE_Y=-1.029; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:23.189; DRONE_X=-0.614; DRONE_Y=-1.128; DRONE_Z=1.497; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:24.192; DRONE_X=-0.325; DRONE_Y=-1.225; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:25.195; DRONE_X=-0.038; DRONE_Y=-1.320; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:26.198; DRONE_X=0.263; DRONE_Y=-1.420; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:27.201; DRONE_X=0.549; DRONE_Y=-1.516; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:28.204; DRONE_X=0.846; DRONE_Y=-1.615; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:29.208; DRONE_X=1.135; DRONE_Y=-1.711; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:30.210; DRONE_X=1.365; DRONE_Y=-1.788; DRONE_Z=1.497; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:31.213; DRONE_X=1.662; DRONE_Y=-1.887; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:32.216; DRONE_X=1.948; DRONE_Y=-1.982; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:33.219; DRONE_X=2.023; DRONE_Y=-2.007; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:34.222; DRONE_X=2.014; DRONE_Y=-2.004; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:35.225; DRONE_X=2.009; DRONE_Y=-2.002; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:36.229; DRONE_X=2.006; DRONE_Y=-2.001; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:37.232; DRONE_X=2.003; DRONE_Y=-2.000; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:38.234; DRONE_X=2.002; DRONE_Y=-2.000; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:39.238; DRONE_X=2.001; DRONE_Y=-2.000; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:40.241; DRONE_X=2.001; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:41.244; DRONE_X=2.001; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:42.247; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:43.250; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:44.253; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:45.256; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:46.259; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.496; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
2025-11-30 13:54:47.262; DRONE_X=2.000; DRONE_Y=-1.999; DRONE_Z=1.497; TARGET_X=2.000; TARGET_Y=-2.000; TARGET_Z=1.500
